"name","monomers_list"
"Nylon 6 - Poly(caprolactam)","O=C1CCCCCN1"
"Poly(p-ethoxy styrene)","CCOc1ccc(C=C)cc1"
"Poly(p-isopropyl styrene)","CC(C)Oc1ccc(C=C)cc1"
"Poly(2-methyl-5-t-butyl styrene)","Cc1ccc(C(C)(C)C)cc1C=C"
"Poly(p-methoxy styrene)","COc1ccc(C=C)cc1"
"Poly(4-methoxy-2-methyl styrene)","COc1ccc(C=C)c(C)c1"
"Poly(m-chloro styrene)","Clc1cccc(C=C)c1"
"Poly(m-methyl styrene)","Cc1cccc(C=C)c1"
"Poly(p-methyl styrene)","Cc1ccc(C=C)cc1"
"Poly(2,5-difluoro styrene)","Fc1ccc(F)c(C=C)c1"
